RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,b'MTU2MzQ2MDI=',b'SGFyZ3JhdmU=',619,France,b'RmVtYWxl',42,2,0.0,1,1,1,101348.88,1
2,b'MTU2NDczMTE=',b'SGlsbA==',608,Spain,b'RmVtYWxl',41,1,83807.86,1,0,1,112542.58,0
3,b'MTU2MTkzMDQ=',b'T25pbw==',502,France,b'RmVtYWxl',42,8,159660.8,3,1,0,113931.57,1
4,b'MTU3MDEzNTQ=',b'Qm9uaQ==',699,France,b'RmVtYWxl',39,1,0.0,2,0,0,93826.63,0
5,b'MTU3Mzc4ODg=',b'TWl0Y2hlbGw=',850,Spain,b'RmVtYWxl',43,2,125510.82,1,1,1,79084.1,0
6,b'MTU1NzQwMTI=',b'Q2h1',645,Spain,b'TWFsZQ==',44,8,113755.78,2,1,0,149756.71,1
7,b'MTU1OTI1MzE=',b'QmFydGxldHQ=',822,France,b'TWFsZQ==',50,7,0.0,2,1,1,10062.8,0
8,b'MTU2NTYxNDg=',b'T2Jpbm5h',376,Germany,b'RmVtYWxl',29,4,115046.74,4,1,0,119346.88,1
9,b'MTU3OTIzNjU=',b'SGU=',501,France,b'TWFsZQ==',44,4,142051.07,2,0,1,74940.5,0
10,b'MTU1OTIzODk=',b'SD8=',684,France,b'TWFsZQ==',27,2,134603.88,1,1,1,71725.73,0
11,b'MTU3Njc4MjE=',b'QmVhcmNl',528,France,b'TWFsZQ==',31,6,102016.72,2,0,0,80181.12,0
12,b'MTU3MzcxNzM=',b'QW5kcmV3cw==',497,Spain,b'TWFsZQ==',24,3,0.0,2,1,0,76390.01,0
13,b'MTU2MzIyNjQ=',b'S2F5',476,France,b'RmVtYWxl',34,10,0.0,2,1,0,26260.98,0
14,b'MTU2OTE0ODM=',b'Q2hpbg==',549,France,b'RmVtYWxl',25,5,0.0,2,0,0,190857.79,0
15,b'MTU2MDA4ODI=',b'U2NvdHQ=',635,Spain,b'RmVtYWxl',35,7,0.0,2,1,1,65951.65,0
16,b'MTU2NDM5NjY=',b'R29mb3J0aA==',616,Germany,b'TWFsZQ==',45,3,143129.41,2,0,1,64327.26,0
17,b'MTU3Mzc0NTI=',b'Um9tZW8=',653,Germany,b'TWFsZQ==',58,1,132602.88,1,1,0,5097.67,1
18,b'MTU3ODgyMTg=',b'SGVuZGVyc29u',549,Spain,b'RmVtYWxl',24,9,0.0,2,1,1,14406.41,0
19,b'MTU2NjE1MDc=',b'TXVsZHJvdw==',587,Spain,b'TWFsZQ==',45,6,0.0,1,0,0,158684.81,0
20,b'MTU1Njg5ODI=',b'SGFv',726,France,b'RmVtYWxl',24,6,0.0,2,1,1,54724.03,0
21,b'MTU1Nzc2NTc=',b'TWNEb25hbGQ=',732,France,b'TWFsZQ==',41,8,0.0,2,1,1,170886.17,0
22,b'MTU1OTc5NDU=',b'RGVsbHVjY2k=',636,Spain,b'RmVtYWxl',32,8,0.0,2,1,0,138555.46,0
23,b'MTU2OTkzMDk=',b'R2VyYXNpbW92',510,Spain,b'RmVtYWxl',38,4,0.0,1,1,0,118913.53,1
24,b'MTU3MjU3Mzc=',b'TW9zbWFu',669,France,b'TWFsZQ==',46,3,0.0,2,0,1,8487.75,0
25,b'MTU2MjUwNDc=',b'WWVu',846,France,b'RmVtYWxl',38,5,0.0,1,1,1,187616.16,0
26,b'MTU3MzgxOTE=',b'TWFjbGVhbg==',577,France,b'TWFsZQ==',25,3,0.0,2,0,1,124508.29,0
27,b'MTU3MzY4MTY=',b'WW91bmc=',756,Germany,b'TWFsZQ==',36,2,136815.64,1,1,1,170041.95,0
28,b'MTU3MDA3NzI=',b'TmViZWNoaQ==',571,France,b'TWFsZQ==',44,9,0.0,2,0,0,38433.35,0
29,b'MTU3Mjg2OTM=',b'TWNXaWxsaWFtcw==',574,Germany,b'RmVtYWxl',43,3,141349.43,1,1,1,100187.43,0
30,b'MTU2NTYzMDA=',b'THVjY2lhbm8=',411,France,b'TWFsZQ==',29,0,59697.17,2,1,1,53483.21,0
31,b'MTU1ODk0NzU=',b'QXppa2l3ZQ==',591,Spain,b'RmVtYWxl',39,3,0.0,3,1,0,140469.38,1
32,b'MTU3MDY1NTI=',b'T2RpbmFrYWNodWt3dQ==',533,France,b'TWFsZQ==',36,7,85311.7,1,0,1,156731.91,0
33,b'MTU3NTAxODE=',b'U2FuZGVyc29u',553,Germany,b'TWFsZQ==',41,9,110112.54,2,0,0,81898.81,0
34,b'MTU2NTk0Mjg=',b'TWFnZ2FyZA==',520,Spain,b'RmVtYWxl',42,6,0.0,2,1,1,34410.55,0
35,b'MTU3MzI5NjM=',b'Q2xlbWVudHM=',722,Spain,b'RmVtYWxl',29,9,0.0,2,1,1,142033.07,0
36,b'MTU3OTQxNzE=',b'TG9tYmFyZG8=',475,France,b'RmVtYWxl',45,0,134264.04,1,1,0,27822.99,1
37,b'MTU3ODg0NDg=',b'V2F0c29u',490,Spain,b'TWFsZQ==',31,3,145260.23,1,0,1,114066.77,0
38,b'MTU3Mjk1OTk=',b'TG9yZW56bw==',804,Spain,b'TWFsZQ==',33,7,76548.6,1,0,1,98453.45,0
39,b'MTU3MTc0MjY=',b'QXJtc3Ryb25n',850,France,b'TWFsZQ==',36,7,0.0,1,1,1,40812.9,0
40,b'MTU1ODU3Njg=',b'Q2FtZXJvbg==',582,Germany,b'TWFsZQ==',41,6,70349.48,2,0,1,178074.04,0
41,b'MTU2MTkzNjA=',b'SHNpYW8=',472,Spain,b'TWFsZQ==',40,4,0.0,1,1,0,70154.22,0
42,b'MTU3MzgxNDg=',b'Q2xhcmtl',465,France,b'RmVtYWxl',51,8,122522.32,1,0,0,181297.65,1
43,b'MTU2ODc5NDY=',b'T3Nib3JuZQ==',556,France,b'RmVtYWxl',61,2,117419.35,1,1,1,94153.83,0
44,b'MTU3NTUxOTY=',b'TGF2aW5l',834,France,b'RmVtYWxl',49,2,131394.56,1,0,0,194365.76,1
45,b'MTU2ODQxNzE=',b'QmlhbmNoaQ==',660,Spain,b'RmVtYWxl',61,5,155931.11,1,1,1,158338.39,0
46,b'MTU3NTQ4NDk=',b'VHlsZXI=',776,Germany,b'RmVtYWxl',32,4,109421.13,2,1,1,126517.46,0
47,b'MTU2MDIyODA=',b'TWFydGlu',829,Germany,b'RmVtYWxl',27,9,112045.67,1,1,1,119708.21,1
48,b'MTU3NzE1NzM=',b'T2thZ2J1ZQ==',637,Germany,b'RmVtYWxl',39,9,137843.8,1,1,1,117622.8,1
49,b'MTU3NjYyMDU=',b'WWlu',550,Germany,b'TWFsZQ==',38,2,103391.38,1,0,1,90878.13,0
50,b'MTU3NzE4NzM=',b'QnVjY2hv',776,Germany,b'RmVtYWxl',37,2,103769.22,2,1,0,194099.12,0
51,b'MTU2MTY1NTA=',b'Q2hpZGllYmVsZQ==',698,Germany,b'TWFsZQ==',44,10,116363.37,2,1,0,198059.16,0
52,b'MTU3NjgxOTM=',b'VHJldmlzYW5p',585,Germany,b'TWFsZQ==',36,5,146050.97,2,0,0,86424.57,0
53,b'MTU2ODM1NTM=',b'TydCcmllbg==',788,France,b'RmVtYWxl',33,5,0.0,2,0,0,116978.19,0
54,b'MTU3MDIyOTg=',b'UGFya2hpbGw=',655,Germany,b'TWFsZQ==',41,8,125561.97,1,0,0,164040.94,1
55,b'MTU1Njk1OTA=',b'WW9v',601,Germany,b'TWFsZQ==',42,1,98495.72,1,1,0,40014.76,1
56,b'MTU3NjA4NjE=',b'UGhpbGxpcHBz',619,France,b'TWFsZQ==',43,1,125211.92,1,1,1,113410.49,0
57,b'MTU2MzAwNTM=',b'VHNhbw==',656,France,b'TWFsZQ==',45,5,127864.4,1,1,0,87107.57,0
58,b'MTU2NDcwOTE=',b'RW5kcml6emk=',725,Germany,b'TWFsZQ==',19,0,75888.2,1,0,0,45613.75,0
59,b'MTU2MjM5NDQ=',b'VCdpZW4=',511,Spain,b'RmVtYWxl',66,4,0.0,1,1,0,1643.11,1
60,b'MTU4MDQ3NzE=',b'VmVsYXpxdWV6',614,France,b'TWFsZQ==',51,4,40685.92,1,1,1,46775.28,0
61,b'MTU2NTEyODA=',b'SHVudGVy',742,Germany,b'TWFsZQ==',35,5,136857.0,1,0,0,84509.57,0
62,b'MTU3NzM0Njk=',b'Q2xhcms=',687,Germany,b'RmVtYWxl',27,9,152328.88,2,0,0,126494.82,0
63,b'MTU3MDIwMTQ=',b'SmVmZnJleQ==',555,Spain,b'TWFsZQ==',33,1,56084.69,2,0,0,178798.13,0
64,b'MTU3NTEyMDg=',b'UGlyb3p6aQ==',684,Spain,b'TWFsZQ==',56,8,78707.16,1,1,1,99398.36,0
65,b'MTU1OTI0NjE=',b'SmFja3Nvbg==',603,Germany,b'TWFsZQ==',26,4,109166.37,1,1,1,92840.67,0
66,b'MTU3ODk0ODQ=',b'SGFtbW9uZA==',751,Germany,b'RmVtYWxl',36,6,169831.46,2,1,1,27758.36,0
67,b'MTU2OTYwNjE=',b'QnJvd25sZXNz',581,Germany,b'RmVtYWxl',34,1,101633.04,1,1,0,110431.51,0
68,b'MTU2NDE1ODI=',b'Q2hpYnVnbw==',735,Germany,b'TWFsZQ==',43,10,123180.01,2,1,1,196673.28,0
69,b'MTU2Mzg0MjQ=',b'R2xhdWVydA==',661,Germany,b'RmVtYWxl',35,5,150725.53,2,0,1,113656.85,0
70,b'MTU3NTU2NDg=',b'UGlzYW5v',675,France,b'RmVtYWxl',21,8,98373.26,1,1,0,18203.0,0
71,b'MTU3MDM3OTM=',b'S29ub3ZhbG92YQ==',738,Germany,b'TWFsZQ==',58,2,133745.44,4,1,0,28373.86,1
72,b'MTU2MjAzNDQ=',b'TWNLZWU=',813,France,b'TWFsZQ==',29,6,0.0,1,1,0,33953.87,0
73,b'MTU4MTI1MTg=',b'UGFsZXJtbw==',657,Spain,b'RmVtYWxl',37,0,163607.18,1,0,1,44203.55,0
74,b'MTU3NzkwNTI=',b'QmFsbGFyZA==',604,Germany,b'RmVtYWxl',25,5,157780.84,2,1,1,58426.81,0
75,b'MTU3NzA4MTE=',b'V2FsbGFjZQ==',519,France,b'TWFsZQ==',36,9,0.0,2,0,1,145562.4,0
76,b'MTU3ODA5NjE=',b'Q2F2ZW5hZ2g=',735,France,b'RmVtYWxl',21,1,178718.19,2,1,0,22388.0,0
77,b'MTU2MTQwNDk=',b'SHU=',664,France,b'TWFsZQ==',55,8,0.0,2,1,1,139161.64,0
78,b'MTU2NjIwODU=',b'UmVhZA==',678,France,b'RmVtYWxl',32,9,0.0,1,1,1,148210.64,0
79,b'MTU1NzUxODU=',b'QnVzaGVsbA==',757,Spain,b'TWFsZQ==',33,5,77253.22,1,0,1,194239.63,0
80,b'MTU4MDMxMzY=',b'UG9zdGxl',416,Germany,b'RmVtYWxl',41,10,122189.66,2,1,0,98301.61,0
81,b'MTU3MDYwMjE=',b'QnVsZXk=',665,France,b'RmVtYWxl',34,1,96645.54,2,0,0,171413.66,0
82,b'MTU2NjM3MDY=',b'TGVvbmFyZA==',777,France,b'RmVtYWxl',32,2,0.0,1,1,0,136458.19,1
83,b'MTU2NDE3MzI=',b'TWlsbHM=',543,France,b'RmVtYWxl',36,3,0.0,2,0,0,26019.59,0
84,b'MTU3MDExNjQ=',b'T255ZW9ydWx1',506,France,b'RmVtYWxl',34,4,90307.62,1,1,1,159235.29,0
85,b'MTU3Mzg3NTE=',b'QmVpdA==',493,France,b'RmVtYWxl',46,4,0.0,2,1,0,1907.66,0
86,b'MTU4MDUyNTQ=',b'TmR1a2FrdQ==',652,Spain,b'RmVtYWxl',75,10,0.0,2,1,1,114675.75,0
87,b'MTU3NjI0MTg=',b'R2FudA==',750,Spain,b'TWFsZQ==',22,3,121681.82,1,1,0,128643.35,1
88,b'MTU2MjU3NTk=',b'Um93bGV5',729,France,b'TWFsZQ==',30,9,0.0,2,1,0,151869.35,0
89,b'MTU2MjI4OTc=',b'U2hhcnBl',646,France,b'RmVtYWxl',46,4,0.0,3,1,0,93251.42,1
90,b'MTU3Njc5NTQ=',b'T3Nib3JuZQ==',635,Germany,b'RmVtYWxl',28,3,81623.67,2,1,1,156791.36,0
91,b'MTU3NTc1MzU=',b'SGVhcA==',647,Spain,b'RmVtYWxl',44,5,0.0,3,1,1,174205.22,1
92,b'MTU3MzE1MTE=',b'Uml0Y2hpZQ==',808,France,b'TWFsZQ==',45,7,118626.55,2,1,0,147132.46,0
93,b'MTU4MDkyNDg=',b'Q29sZQ==',524,France,b'RmVtYWxl',36,10,0.0,2,1,0,109614.57,0
94,b'MTU2NDA2MzU=',b'Q2Fwb24=',769,France,b'TWFsZQ==',29,8,0.0,2,1,1,172290.61,0
95,b'MTU2NzY5NjY=',b'Q2Fwb24=',730,Spain,b'TWFsZQ==',42,4,0.0,2,0,1,85982.47,0
96,b'MTU2OTk0NjE=',b'RmlvcmVudGluaQ==',515,Spain,b'TWFsZQ==',35,10,176273.95,1,0,1,121277.78,0
97,b'MTU3Mzg3MjE=',b'R3JhaGFt',773,Spain,b'TWFsZQ==',41,9,102827.44,1,0,1,64595.25,0
98,b'MTU2OTM2ODM=',b'WXVpbGxl',814,Germany,b'TWFsZQ==',29,8,97086.4,2,1,1,197276.13,0
99,b'MTU2MDQzNDg=',b'QWxsYXJk',710,Spain,b'TWFsZQ==',22,8,0.0,2,0,0,99645.04,0
100,b'MTU2MzMwNTk=',b'RmFudWNjaQ==',413,France,b'TWFsZQ==',34,9,0.0,2,0,0,6534.18,0
101,b'MTU4MDg1ODI=',b'RnU=',665,France,b'RmVtYWxl',40,6,0.0,1,1,1,161848.03,0
102,b'MTU3NDMxOTI=',b'SHVuZw==',623,France,b'RmVtYWxl',44,6,0.0,2,0,0,167162.43,0
103,b'MTU1ODAxNDY=',b'SHVuZw==',738,France,b'TWFsZQ==',31,9,82674.15,1,1,0,41970.72,0
104,b'MTU3NzY2MDU=',b'QnJhZGxleQ==',528,Spain,b'TWFsZQ==',36,7,0.0,2,1,0,60536.56,0
105,b'MTU4MDQ5MTk=',b'RHVuYmFiaW4=',670,Spain,b'RmVtYWxl',65,1,0.0,1,1,1,177655.68,1
106,b'MTU2MTM4NTQ=',b'TWF1bGRvbg==',622,Spain,b'RmVtYWxl',46,4,107073.27,2,1,1,30984.59,1
107,b'MTU1OTkxOTU=',b'U3RpZ2Vy',582,Germany,b'TWFsZQ==',32,1,88938.62,1,1,1,10054.53,0
108,b'MTU4MTI4Nzg=',b'UGFyc29ucw==',785,Germany,b'RmVtYWxl',36,2,99806.85,1,0,1,36976.52,0
109,b'MTU2MDIzMTI=',b'V2Fsa29t',605,Spain,b'TWFsZQ==',33,5,150092.8,1,0,0,71862.79,0
110,b'MTU3NDQ2ODk=',b'VCdhbmc=',479,Germany,b'TWFsZQ==',35,9,92833.89,1,1,0,99449.86,1
111,b'MTU4MDM1MjY=',b'RXJlbWVua28=',685,Germany,b'TWFsZQ==',30,3,90536.81,1,0,1,63082.88,0
112,b'MTU2NjU3OTA=',b'Um93bnRyZWU=',538,Germany,b'TWFsZQ==',39,7,108055.1,2,1,0,27231.26,0
113,b'MTU3MTU5NTE=',b'VGhvcnBl',562,France,b'TWFsZQ==',42,2,100238.35,1,0,0,86797.41,0
114,b'MTU1OTExMDA=',b'Q2hpZW1lbGE=',675,Spain,b'TWFsZQ==',36,9,106190.55,1,0,1,22994.32,0
115,b'MTU2MDk2MTg=',b'RmFudWNjaQ==',721,Germany,b'TWFsZQ==',28,9,154475.54,2,0,1,101300.94,1
116,b'MTU2NzU1MjI=',b'S28=',628,Germany,b'RmVtYWxl',30,9,132351.29,2,1,1,74169.13,0
117,b'MTU3MDU1MTI=',b'V2VsY2g=',668,Germany,b'RmVtYWxl',37,6,167864.4,1,1,0,115638.29,0
118,b'MTU2OTgwMjg=',b'RHVuY2Fu',506,France,b'RmVtYWxl',41,1,0.0,2,1,0,31766.3,0
119,b'MTU2NjE2NzA=',b'Q2hpZG96aWU=',524,Germany,b'RmVtYWxl',31,8,107818.63,1,1,0,199725.39,1
120,b'MTU2MDA3ODE=',b'V3U=',699,Germany,b'TWFsZQ==',34,4,185173.81,2,1,0,120834.48,0
121,b'MTU2ODI0NzI=',b'Q3VsYnJldGg=',828,France,b'TWFsZQ==',34,8,129433.34,2,0,0,38131.77,0
122,b'MTU1ODAyMDM=',b'S2VubmVkeQ==',674,Spain,b'TWFsZQ==',39,6,120193.42,1,0,0,100130.95,0
123,b'MTU2OTA2NzM=',b'Q2FtZXJvbg==',656,France,b'RmVtYWxl',39,6,0.0,2,1,0,141069.88,0
124,b'MTU3NjAwODU=',b'Q2FsYWJyZXNp',684,Germany,b'RmVtYWxl',48,10,126384.42,1,1,1,198129.36,0
125,b'MTU3Nzk2NTk=',b'WmV0dGljY2k=',625,France,b'RmVtYWxl',28,3,0.0,1,0,0,183646.41,0
126,b'MTU2MjczNjA=',b'RnVsbGVy',432,France,b'TWFsZQ==',42,9,152603.45,1,1,0,110265.24,1
127,b'MTU2NzExMzc=',b'TWFjRG9uYWxk',549,France,b'RmVtYWxl',52,1,0.0,1,0,1,8636.05,1
128,b'MTU3ODI2ODg=',b'UGljY2lv',625,Germany,b'TWFsZQ==',56,0,148507.24,1,1,0,46824.08,1
129,b'MTU1NzU0OTI=',b'S2VubmVkeQ==',828,France,b'RmVtYWxl',41,7,0.0,2,1,0,171378.77,0
130,b'MTU1OTE2MDc=',b'RmVybmll',770,France,b'TWFsZQ==',24,9,101827.07,1,1,0,167256.35,0
131,b'MTU3NDA0MDQ=',b'SGU=',758,France,b'RmVtYWxl',34,3,0.0,2,1,1,124226.16,0
132,b'MTU3MTgzNjk=',b'S2FvZGlsaW5ha2FjaHVrd3U=',795,Germany,b'RmVtYWxl',33,9,130862.43,1,1,1,114935.21,0
133,b'MTU2Nzc4NzE=',b'Q29jY2k=',687,France,b'TWFsZQ==',38,9,122570.87,1,1,1,35608.88,0
134,b'MTU2NDIwMDQ=',b'QWxla3NlZXZh',686,France,b'TWFsZQ==',25,1,0.0,2,0,1,16459.37,0
135,b'MTU3MTI1NDM=',b'Q2hpbndlaWtl',789,Germany,b'TWFsZQ==',39,7,124828.46,2,1,1,124411.08,0
136,b'MTU1ODQ1MTg=',b'QXJ0aHVy',589,Germany,b'RmVtYWxl',50,5,144895.05,2,1,1,34941.23,0
137,b'MTU4MDIzODE=',b'TGk=',461,Germany,b'RmVtYWxl',34,5,63663.93,1,0,1,167784.28,0
138,b'MTU2MTAxNTY=',b'TWE=',637,France,b'TWFsZQ==',40,2,133463.1,1,0,1,93165.34,0
139,b'MTU1OTQ0MDg=',b'Q2hpYQ==',584,Spain,b'RmVtYWxl',48,2,213146.2,1,1,0,75161.25,1
140,b'MTU2NDA5MDU=',b'VmFzaW4=',579,Spain,b'RmVtYWxl',35,1,129490.36,2,0,1,8590.83,1
141,b'MTU2OTg5MzI=',b'R3JvdmVz',756,Germany,b'TWFsZQ==',44,10,137452.09,1,1,0,189543.9,0
