RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
9698,15681928,1102,626.09247,0,0,33.64135,3.0608263,-0.6592032,2.050113,1,1,36892.215,0
6180,15815690,959,891.0877,0,1,34.318974,1.5165803,-1.9909034,2.18983,1,1,52584.7,0
6420,15726605,2078,639.0399,1,0,28.71177,6.2241483,178430.11,2.0509627,1,1,101712.56,0
6279,15720764,1923,640.5194,1,0,29.050446,6.0073423,147454.53,1.9913399,1,1,103824.66,0
6288,15722329,1872,639.79486,1,0,29.34668,5.9604125,147406.08,1.9610856,1,1,104656.21,0
2572,15766538,856,708.9404,2,1,37.275227,5.13802,154782.94,2.0318525,1,1,133238.39,0
2508,15764104,818,705.22626,2,1,38.06064,5.130676,144698.11,1.9845536,1,1,137489.84,0
2419,15763092,790,703.3871,2,1,37.940533,5.054283,151244.39,1.9797864,1,1,135637.8,0
2311,15768279,787,706.6658,2,1,37.87677,5.085429,169791.81,2.0060976,1,1,138649.92,0
2445,15764444,805,704.4129,2,1,37.8877,5.046295,150524.4,1.9832854,1,1,134703.38,0
5940,15810595,910,855.09875,0,1,34.83001,1.9058518,0.22389579,2.0230572,1,1,58247.09,0
2420,15765467,798,708.776,2,1,38.04793,4.9688616,133467.1,1.9968073,1,1,135271.02,0
5790,15788827,913,825.905,0,1,34.974365,2.7896047,5.5586996,1.9229672,1,1,62373.36,0
6324,15724616,1900,643.2549,1,0,29.039406,6.0277805,135508.4,1.995477,1,1,101375.75,0
5653,15771154,933,808.33765,0,1,35.133457,4.049865,4.8622403,1.9464574,1,1,65581.53,0
6006,15810130,920,856.30786,0,1,34.812843,2.0957053,-0.23693919,2.0243561,1,1,58448.125,0
2414,15766640,790,704.6319,2,1,38.0227,5.085817,145960.19,1.9932435,1,1,136189.9,0
2295,15766570,788,705.0871,2,1,38.06835,5.0281672,170688.69,2.0106933,1,1,137805.56,0
5866,15798353,908,839.427,0,1,34.938004,2.2539968,4.534147,1.9557409,1,1,60491.02,0
5609,15767402,953,813.4545,0,1,34.85603,4.9336195,-0.47017884,2.031945,1,1,65497.504,0
9409,15681585,1071,627.4338,0,0,33.861553,3.127181,0.30378234,2.018514,1,1,39114.168,0
5468,15754353,975,802.5027,0,1,34.919163,6.0898542,-0.7722324,2.0571337,1,1,68198.64,0
5362,15747662,959,792.0157,0,1,34.889114,6.126561,0.8203032,1.9903584,1,1,69843.4,0
6137,15815690,948,879.9895,0,1,34.410736,1.655344,-1.4432416,2.1485221,1,1,54146.344,0
5049,15732045,1508,660.07434,1,0,31.558334,5.8559055,173309.12,1.9667833,1,1,114228.14,0
5829,15796798,905,834.9119,0,1,35.11179,2.3725584,5.21966,1.9536653,1,1,60788.5,0
5852,15800593,911,842.81415,0,1,34.830696,2.384306,0.7914821,1.9683096,1,1,59068.973,0
2323,15765496,793,705.5671,2,1,37.946964,5.070959,170040.27,2.0030525,1,1,137752.83,0
2262,15766755,777,706.7402,2,1,38.121147,5.0415974,172612.98,2.0015874,1,1,137546.66,0
9681,15680019,1089,623.93835,0,0,33.775993,3.0076556,-0.47902858,2.0425622,1,1,36715.98,0
2304,15766028,781,705.51404,2,1,38.100903,5.0440316,168083.92,2.0089114,1,1,137791.58,0
6432,15725442,2081,639.04425,1,0,28.762922,6.1931634,150303.4,1.9988496,1,1,101858.414,0
5918,15807540,918,850.7001,0,1,34.925434,2.1074219,0.34005952,2.0186527,1,1,58200.637,0
2352,15765902,785,704.964,2,1,37.8834,5.0626845,156095.08,1.9874616,1,1,137288.39,0
